Timestamp,Which country did you attend High School In?,What year did you graduate High School?,Which state did you go to High School in?,Did you sing at religious services?,"If Yes, Which religion did you practice?",Do you have a favorite TV Show or Movie?,Do you remember going to see live music?,"If so, Can you remember any bands/artists you went to see?",Do you like to dance?,"If so, what type of dance?",Do you have a favorite classical music composer?,Who was your favorite singer?,What was your favorite type of music?,"If you served in the militiary, which branch did you serve in?",Do you have a favorite song from when you were in high school / college?,Do you speak any other languages besides English?,What is the first song you remember hearing?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9,Song 10,"If so, Can you remember their name?",What years did you serve?,,,,,,Do you remember a style of music from when you traveled somewhere special? ,Song 11,Song 12,Song 13,Song 14,Song 15,Song 16,Song 17,Song 18,Song 19,Song 20,Song 21,Song 22,Song 23,Song 24,Song 27,Song 25,Song 26,,Song 27,Song 28,Song 29,Song 30
6/3/2018 14:40:04,Us,1964,Ks,No,,Ed sullivan,Yes,American bandstand,Yes,Disco,Montavani,The bgs,Pop,No,,English,The bgs,Frankie valley,4 seasons,,,,Whb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2018 20:02:58,India,1987,Delhi,No,Hindu,Sholley,Yes,Jagjit Singh,Yes,Bhangra,Pt. Jasraaj,A R Rehman,Indian Movie Music,No,Ek do teen chaar panch,Hindi,Kabhi Kabhi Mere Dil Main,Here comes the son,Aji Tanhaaiyon main yon ,Tum Apne Ranzo gum,Ik ladki ko dekha to aisa laga,Papa Kahte the bada naam karega ,Pehla Nasha,Tuta tuta ek parinda,Maye ni Maye mere geetan de naina wichch,ai dile naadan ai dile naadan,Nirmohi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2018 12:23:10,India,1989,Haryana,No,,Yes,No,Jagjit Singh,No,,Yes,Lata Mangeshkar,Classical,No,Tum ko dekha to yeh khyal aaya,Hindi,Tum itna jo muskura rahe ho,Tum ko dekha to yeh khyal aaya,Jhuki jhuki se nazar,Tum itna jo muskura rahe ho,Tu is tarah se meri jindagi,Karoge yaad to har baat yaad aayegi,Manjile apni jagah ho,Ye tera ghar ye mera ghar,Mere rang mein rang ne,Aap jaisa koi meri jindagi mei aye,In ankhon ki maasti ke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2018 18:52:53,USA,1959,New York,No,,Zulu & captain horacio horn blower (Gregory peck) for movies,Yes,"Sara Vaughan, Stan Getz, Vaughan Monroe",No,,Yes,Bobby Darin,"Popular, Jazz",Army,,Brooklynese. :),Peter and the Wolf,"At The Hop, by Danny & the Juniors ","Johnny B Good, by chuck berry","Steamroller Blues, by Elvis Pressley","Take Five, by Dave Brubeck Quartet",,,,,,,Rimsky-Korsakov,1963-1969,,,,,,Steel drums and reggae on a cruise,,,,,,,,,,,,,,,,,,,,,,
7/8/2018 18:57:36,USA,1960,New York,No,,Dr Kildare,No,,No,,Yes,Barbra Streisand,Classical,,,No,Star Spangled Banner,Cannot remember any. ,,,,,,,,,,Bethoven and Mozart ,,,,,,,Calypso music in the carribean,,,,,,,,,,,,,,,,,,,,,,
7/9/2018 20:00:30,United States,1969,Minnesota ,Yes,Latter-day Saints,Superman or related shows,No,,No,,No,Bing Crosby,Country,Air Force,,No,How Great Thou Art,Down on the corner,Good golly miss molly,,Have you ever seen the rain,Hello Mary Lou,I heard it through the grapevine ,Looking out my back door,Proud Mary,Who’ll stop the rain,American Pie,,1971-1975,,,,,,Credence Clearwater Revival,,,,,,,,,,,,,,,,,,,,,,
7/10/2018 0:35:19,US,1959,California,Yes,Church of Jesus Christ of Latter-Day Saints,,Yes,Big band,Yes,Swing,No,Nat King Cole,Popular,,,,You are my Sunshine,The Great Pretender,WHen I Fall in Love,Love letters in the Sand,Chances Are,My Prayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2018 9:01:58,America,1969,KS,Yes,Baptist as a girl,"King and I (musical), Wild, Wild West, I Spy",Yes,"Country Gospel the Statesmen, ",No,I love to watch all styles,Yes,"Beatles, Paul Simon",Popular,,,no,Jesus Love Me,Que Sera Sera,Diamonds on the Soles Of Her Shoes,Blackbird-Beatles,Baby Mine-Bette Midler,Under The Boardwalk,Underneath the Mango Tree,"Rain, Rain, Rain, Rain",After The Love Has Gone-Roy Orbison,At Last-Etta James,Beautiful Boy-John Lennon,Beethoven and Mozart,,,,,,,,Cecilia-Simon & Garfunkel,Constant Craving-K.D. Lang,Don't Know Why-Nora Jones,Don't Worry Be Happy-Bobby McFerron,Dream A Little Dream of Me-Mamas and the Papas,England Swings-Roger Miller,Fields of Gold-Sting,That's The Glory of Love- Bette Midler,Glowworm- the Mills Brothers,Good Day Sunshine-Beatles,Good Night My Angel-Paul Simon,Graceland-Paul SimonHeart of Gold-Neil Young,Crazy-Patsy Cline,I'm Gonna Be (500 Miles) the Proclaimers,,I'm Into Something Good-Herman's Hermits,I'm Telling You Now -Freddie & The Dreamers,,In My Life-Bette Midler,Istanbul (Not Constantinople) The Four Lads,Kitten On The Keys (Ed and Janet Kaizer,The Lion Sleeps Tonight-The Tokens
7/20/2018 17:54:00,U.S.A,1960,Kansas,Yes,Christian,Gone with the Wind,Yes,"The 4 Freshman; Kingston Trio; Peter, Paul & Mary",Yes,Two-step; Line Dancing; Waltz,No,Elvis Presley ,"Country, Rock N Roll ",,,no,London Bridges Falling Down; Ring around the Rosie,Don't Be Cruel by Elvis Presley,Can't Help Falling in Love by Elvis Presley,Scotch & Soda by Kingston Trio,Blue Eyes Crying in the Rain by Willie Nelson,Smoke Gets in Your Eyes by The Platters,Blueberry Hill by Fats Domino,Mack the Knife by Bobby Darin,My Prayer by The Platters,Little Darling by Diamond,See you in September by Frankie Valli & 4 seasons,,,,,,,,Country,Under the Boardwalk by the Drifters ,A Town without Pity by Gene Pitney ,Up on the Roof by the Drifters,For the Good Times by Ray Price,I will Always love you by Dolly Parton,Imagine by the Beatles,Hey Jude by the Beatles,My Way by Frank Sinatra,I Got you Babe by Sonny & Cher,Crazy by Patsy Cline,Autumn Leaves by Nat King Cole ,Unforgettable by Nat King Cole ,16 Tons by Tennessee Ernie Ford ,Husbands & Wives by Neil Diamond,,He Stopped Loving Her Today by George Jones,,,,,,
7/22/2018 15:02:30,Us,1972,Ks,Yes,Lutheran,Bonza,Yes,Elton John,Yes,Country,No,John Denver,"Popular, Jazz, Country",,,,Jesus loves me,Somewhere over the rainbow,Misty,Rocky mountain,Annies,Country road,Garth brooks,,,,,,,,,,,,Irish,,,,,,,,,,,,,,,,,,,,,,
